Year,Rank,Title,Studio,Worldwide,Domestic,Overseas,Category,Link
2014,70,Heaven is for Real,TriS,101.3,91.4,9.9,Top51to100,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=heavenisforreal.htm
2014,71,Tammy,WB (NL),100.5,84.5,16.0,Top51to100,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=tammy.htm
2014,72,P.K.,UTV,100.4,10.6,89.8,Top51to100,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=pk.htm
2014,73,The Book of Life (2014),Fox,99.8,50.2,49.6,Top51to100,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=bookoflife14.htm
2014,74,Paranormal Activity: The Marked Ones,Par.,90.9,32.5,58.4,Top51to100,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=paranormalactivity5.htm
2014,75,The Hundred-Foot Journey,BV,88.9,54.2,34.6,Top51to100,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=100foot.htm
2014,76,John Wick,LG/S,88.8,43.0,45.7,Top51to100,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=johnwick.htm
2014,77,Deliver Us From Evil,SGem,87.9,30.6,57.4,Top51to100,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=bewarethenight.htm
2014,78,A Million Ways to Die in the West,Uni.,87.2,43.1,44.1,Top51to100,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=millionwaystodie.htm
2014,79,Snowpiercer,RTWC,86.8,4.6,82.2,Top51to100,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=snowpiercer.htm
2014,80,Step Up All In,LG/S,86.2,14.9,71.3,Top51to100,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=stepup5.htm
2014,81,The Judge,WB,84.4,47.1,37.3,Top51to100,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=judge.htm
2014,82,Muppets Most Wanted,BV,80.4,51.2,29.2,Top51to100,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=muppets2.htm
2014,83,If I Stay,WB (NL),78.9,50.5,28.4,Top51to100,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=ifistay.htm
2014,84,"I, Frankenstein",LGF,71.2,19.1,52.1,Top51to100,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=ifrankenstein.htm
2014,85,The Attorney,WGUSA,70.6,5.6,70.0,Top51to100,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=attorney.htm
2014,86,Think Like a Man Too,SGem,70.2,65.2,5.0,Top51to100,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=thinklikeaman2.htm
2014,87,Brick Mansions,Rela.,68.9,20.4,48.5,Top51to100,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=brickmansions.htm
2014,88,Stalingrad (2014),Sony,68.1,1.0,67.1,Top51to100,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=stalingrad2014.htm
2014,89,Son of God,Fox,67.8,59.7,8.1,Top51to100,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=sonofgod.htm
2014,90,Jersey Boys,WB,67.7,47.0,20.6,Top51to100,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=jerseyboys.htm
2014,91,The Giver,Wein.,67.0,45.1,21.9,Top51to100,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=giver.htm
2014,92,Selma,Par.,66.8,52.1,14.7,Top51to100,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=selma.htm
2014,93,God's Not Dead,Free,64.7,60.8,3.9,Top51to100,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=godsnotdead.htm
2014,94,Thunder and the House of Magic!,Shout!,64.2,0.0,64.2,Top51to100,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=houseofmagic.htm
2014,95,Begin Again,Wein.,63.5,16.2,47.3,Top51to100,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=canasong.htm
2014,96,The Legend of Hercules,LG/S,61.3,18.8,42.4,Top51to100,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=herculesbegins.htm
2014,97,Evangelion: 3.0 You Can (Not) Redo,Elev.,60.5,1.8,60.3,Top51to100,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=evangelion3.htm
2014,98,Dolphin Tale 2,WB,57.8,42.0,15.8,Top51to100,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=dolphintale2.htm
2014,99,St. Vincent,Wein.,54.8,44.1,10.7,Top51to100,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=stvincent.htm
2014,100,No Good Deed (2014),SGem,54.3,52.5,1.8,Top51to100,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=nogooddeed13.htm
2014,101,A Walk Among the Tombstones,Uni.,53.2,26.3,26.9,Top101to150,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=walktombstones.htm
2014,102,3 Days to Kill,Rela.,52.6,30.7,21.9,Top101to150,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=threedaystokill.htm
2014,103,Wild (2014),FoxS,52.5,37.9,14.6,Top101to150,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=wild2014.htm
2014,104,Magic in the Moonlight,SPC,51.0,10.5,40.5,Top101to150,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=magicinthemoonlight.htm
2014,105,Dragon Ball Z: Battle of Gods,SV,50.4,2.6,47.8,Top101to150,http://www.boxofficemojo.com/movies/?page=intl&country=CH&id=dragonballz2014.htm
